| end of split   1 /100 | epoch   3 | time: 967.63s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split   2 /100 | epoch   3 | time: 963.73s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split   3 /100 | epoch   3 | time: 963.55s | valid loss  1.07 | valid ppl     2.91 | learning rate 1.25
| end of split   4 /100 | epoch   3 | time: 963.87s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split   5 /100 | epoch   3 | time: 964.37s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split   6 /100 | epoch   3 | time: 963.72s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split   7 /100 | epoch   3 | time: 964.52s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split   8 /100 | epoch   3 | time: 963.24s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split   9 /100 | epoch   3 | time: 963.25s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  10 /100 | epoch   3 | time: 963.86s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  11 /100 | epoch   3 | time: 987.66s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  12 /100 | epoch   3 | time: 963.67s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  13 /100 | epoch   3 | time: 963.21s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  14 /100 | epoch   3 | time: 966.79s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  15 /100 | epoch   3 | time: 963.65s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  16 /100 | epoch   3 | time: 963.24s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  17 /100 | epoch   3 | time: 964.52s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
| end of split  18 /100 | epoch   3 | time: 973.54s | valid loss  1.07 | valid ppl     2.90 | learning rate 1.25
