| end of split  84 /100 | epoch   1 | time: 997.79s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  85 /100 | epoch   1 | time: 996.17s | valid loss  1.15 | valid ppl     3.14 | learning rate 20.00
| end of split  86 /100 | epoch   1 | time: 1012.04s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  87 /100 | epoch   1 | time: 988.19s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  88 /100 | epoch   1 | time: 982.08s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  89 /100 | epoch   1 | time: 985.82s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  90 /100 | epoch   1 | time: 996.13s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  91 /100 | epoch   1 | time: 982.95s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  92 /100 | epoch   1 | time: 998.90s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  93 /100 | epoch   1 | time: 1012.56s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  94 /100 | epoch   1 | time: 995.20s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  95 /100 | epoch   1 | time: 982.94s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  96 /100 | epoch   1 | time: 1002.02s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  97 /100 | epoch   1 | time: 987.14s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  98 /100 | epoch   1 | time: 992.74s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  99 /100 | epoch   1 | time: 995.94s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split 100 /100 | epoch   1 | time: 1011.93s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split   1 /100 | epoch   2 | time: 998.70s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split   2 /100 | epoch   2 | time: 994.13s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split   3 /100 | epoch   2 | time: 986.65s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split   4 /100 | epoch   2 | time: 986.98s | valid loss  1.13 | valid ppl     3.11 | learning rate 20.00
| end of split   5 /100 | epoch   2 | time: 993.49s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split   6 /100 | epoch   2 | time: 994.62s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split   7 /100 | epoch   2 | time: 983.95s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split   8 /100 | epoch   2 | time: 994.16s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
